iteration,method,composition,particle_size_nm,metal_loading_wt_pct,facet,calcination_temp_C,defect_density,activity,best_so_far
71,grid_search,Cu2O,20.0,1.3250000000000002,110,500.0,medium,6.51,11.09
72,grid_search,Cu2O,20.0,1.3250000000000002,110,500.0,high,5.95,11.09
73,grid_search,Cu2O,20.0,1.3250000000000002,110,600.0,low,5.16,11.09
74,grid_search,Cu2O,20.0,1.3250000000000002,110,600.0,medium,1.0,11.09
75,grid_search,Cu2O,20.0,1.3250000000000002,110,600.0,high,1.6,11.09
76,grid_search,Cu2O,20.0,1.3250000000000002,100,200.0,low,3.59,11.09
77,grid_search,Cu2O,20.0,1.3250000000000002,100,200.0,medium,2.3,11.09
78,grid_search,Cu2O,20.0,1.3250000000000002,100,200.0,high,4.23,11.09
79,grid_search,Cu2O,20.0,1.3250000000000002,100,300.0,low,6.08,11.09
80,grid_search,Cu2O,20.0,1.3250000000000002,100,300.0,medium,2.07,11.09
81,grid_search,Cu2O,20.0,1.3250000000000002,100,300.0,high,6.49,11.09
82,grid_search,Cu2O,20.0,1.3250000000000002,100,400.0,low,3.59,11.09
83,grid_search,Cu2O,20.0,1.3250000000000002,100,400.0,medium,11.08,11.09
84,grid_search,Cu2O,20.0,1.3250000000000002,100,400.0,high,5.21,11.09
85,grid_search,Cu2O,20.0,1.3250000000000002,100,500.0,low,9.4,11.09
86,grid_search,Cu2O,20.0,1.3250000000000002,100,500.0,medium,8.05,11.09
87,grid_search,Cu2O,20.0,1.3250000000000002,100,500.0,high,7.02,11.09
88,grid_search,Cu2O,20.0,1.3250000000000002,100,600.0,low,5.54,11.09
89,grid_search,Cu2O,20.0,1.3250000000000002,100,600.0,medium,1.0,11.09
90,grid_search,Cu2O,20.0,1.3250000000000002,100,600.0,high,1.0,11.09
91,grid_search,Cu2O,20.0,2.5500000000000003,111,200.0,low,5.33,11.09
92,grid_search,Cu2O,20.0,2.5500000000000003,111,200.0,medium,8.3,11.09
93,grid_search,Cu2O,20.0,2.5500000000000003,111,200.0,high,4.38,11.09
94,grid_search,Cu2O,20.0,2.5500000000000003,111,300.0,low,5.47,11.09
95,grid_search,Cu2O,20.0,2.5500000000000003,111,300.0,medium,8.56,11.09
96,grid_search,Cu2O,20.0,2.5500000000000003,111,300.0,high,1.0,11.09
97,grid_search,Cu2O,20.0,2.5500000000000003,111,400.0,low,10.16,11.09
98,grid_search,Cu2O,20.0,2.5500000000000003,111,400.0,medium,6.65,11.09
99,grid_search,Cu2O,20.0,2.5500000000000003,111,400.0,high,2.76,11.09
100,grid_search,Cu2O,20.0,2.5500000000000003,111,500.0,low,4.53,11.09
101,grid_search,Cu2O,20.0,2.5500000000000003,111,500.0,medium,4.47,11.09
102,grid_search,Cu2O,20.0,2.5500000000000003,111,500.0,high,1.0,11.09
103,grid_search,Cu2O,20.0,2.5500000000000003,111,600.0,low,7.36,11.09
104,grid_search,Cu2O,20.0,2.5500000000000003,111,600.0,medium,5.86,11.09
105,grid_search,Cu2O,20.0,2.5500000000000003,111,600.0,high,3.31,11.09
106,grid_search,Cu2O,20.0,2.5500000000000003,110,200.0,low,5.46,11.09
107,grid_search,Cu2O,20.0,2.5500000000000003,110,200.0,medium,3.13,11.09
108,grid_search,Cu2O,20.0,2.5500000000000003,110,200.0,high,4.25,11.09
109,grid_search,Cu2O,20.0,2.5500000000000003,110,300.0,low,5.85,11.09
110,grid_search,Cu2O,20.0,2.5500000000000003,110,300.0,medium,3.78,11.09
111,grid_search,Cu2O,20.0,2.5500000000000003,110,300.0,high,5.38,11.09
112,grid_search,Cu2O,20.0,2.5500000000000003,110,400.0,low,3.92,11.09
113,grid_search,Cu2O,20.0,2.5500000000000003,110,400.0,medium,4.88,11.09
114,grid_search,Cu2O,20.0,2.5500000000000003,110,400.0,high,8.62,11.09
115,grid_search,Cu2O,20.0,2.5500000000000003,110,500.0,low,3.64,11.09
116,grid_search,Cu2O,20.0,2.5500000000000003,110,500.0,medium,3.39,11.09
117,grid_search,Cu2O,20.0,2.5500000000000003,110,500.0,high,8.45,11.09
118,grid_search,Cu2O,20.0,2.5500000000000003,110,600.0,low,1.0,11.09
119,grid_search,Cu2O,20.0,2.5500000000000003,110,600.0,medium,1.0,11.09
120,grid_search,Cu2O,20.0,2.5500000000000003,110,600.0,high,1.0,11.09
121,grid_search,Cu2O,20.0,2.5500000000000003,100,200.0,low,8.35,11.09
122,grid_search,Cu2O,20.0,2.5500000000000003,100,200.0,medium,7.41,11.09
123,grid_search,Cu2O,20.0,2.5500000000000003,100,200.0,high,9.55,11.09
124,grid_search,Cu2O,20.0,2.5500000000000003,100,300.0,low,4.03,11.09
125,grid_search,Cu2O,20.0,2.5500000000000003,100,300.0,medium,4.65,11.09
126,grid_search,Cu2O,20.0,2.5500000000000003,100,300.0,high,5.56,11.09
127,grid_search,Cu2O,20.0,2.5500000000000003,100,400.0,low,8.38,11.09
128,grid_search,Cu2O,20.0,2.5500000000000003,100,400.0,medium,8.04,11.09
129,grid_search,Cu2O,20.0,2.5500000000000003,100,400.0,high,2.95,11.09
130,grid_search,Cu2O,20.0,2.5500000000000003,100,500.0,low,1.97,11.09
131,grid_search,Cu2O,20.0,2.5500000000000003,100,500.0,medium,2.73,11.09
132,grid_search,Cu2O,20.0,2.5500000000000003,100,500.0,high,1.07,11.09
133,grid_search,Cu2O,20.0,2.5500000000000003,100,600.0,low,3.69,11.09
134,grid_search,Cu2O,20.0,2.5500000000000003,100,600.0,medium,2.19,11.09
135,grid_search,Cu2O,20.0,2.5500000000000003,100,600.0,high,1.0,11.09
136,grid_search,Cu2O,20.0,3.7750000000000004,111,200.0,low,14.21,14.21
137,grid_search,Cu2O,20.0,3.7750000000000004,111,200.0,medium,4.12,14.21
138,grid_search,Cu2O,20.0,3.7750000000000004,111,200.0,high,2.76,14.21
139,grid_search,Cu2O,20.0,3.7750000000000004,111,300.0,low,7.01,14.21
140,grid_search,Cu2O,20.0,3.7750000000000004,111,300.0,medium,3.64,14.21
141,grid_search,Cu2O,20.0,3.7750000000000004,111,300.0,high,7.96,14.21
142,grid_search,Cu2O,20.0,3.7750000000000004,111,400.0,low,6.24,14.21
143,grid_search,Cu2O,20.0,3.7750000000000004,111,400.0,medium,1.0,14.21
144,grid_search,Cu2O,20.0,3.7750000000000004,111,400.0,high,3.39,14.21
145,grid_search,Cu2O,20.0,3.7750000000000004,111,500.0,low,4.02,14.21
146,grid_search,Cu2O,20.0,3.7750000000000004,111,500.0,medium,2.95,14.21
147,grid_search,Cu2O,20.0,3.7750000000000004,111,500.0,high,7.61,14.21
148,grid_search,Cu2O,20.0,3.7750000000000004,111,600.0,low,2.06,14.21
149,grid_search,Cu2O,20.0,3.7750000000000004,111,600.0,medium,4.49,14.21
150,grid_search,Cu2O,20.0,3.7750000000000004,111,600.0,high,1.0,14.21
151,grid_search,Cu2O,20.0,3.7750000000000004,110,200.0,low,8.66,14.21
152,grid_search,Cu2O,20.0,3.7750000000000004,110,200.0,medium,7.17,14.21
153,grid_search,Cu2O,20.0,3.7750000000000004,110,200.0,high,5.62,14.21
154,grid_search,Cu2O,20.0,3.7750000000000004,110,300.0,low,5.43,14.21
155,grid_search,Cu2O,20.0,3.7750000000000004,110,300.0,medium,6.54,14.21
156,grid_search,Cu2O,20.0,3.7750000000000004,110,300.0,high,4.82,14.21
157,grid_search,Cu2O,20.0,3.7750000000000004,110,400.0,low,9.56,14.21
158,grid_search,Cu2O,20.0,3.7750000000000004,110,400.0,medium,9.47,14.21
159,grid_search,Cu2O,20.0,3.7750000000000004,110,400.0,high,3.2,14.21
160,grid_search,Cu2O,20.0,3.7750000000000004,110,500.0,low,2.29,14.21
161,grid_search,Cu2O,20.0,3.7750000000000004,110,500.0,medium,6.54,14.21
162,grid_search,Cu2O,20.0,3.7750000000000004,110,500.0,high,1.53,14.21
163,grid_search,Cu2O,20.0,3.7750000000000004,110,600.0,low,7.07,14.21
164,grid_search,Cu2O,20.0,3.7750000000000004,110,600.0,medium,5.82,14.21
165,grid_search,Cu2O,20.0,3.7750000000000004,110,600.0,high,4.22,14.21
166,grid_search,Cu2O,20.0,3.7750000000000004,100,200.0,low,5.34,14.21
167,grid_search,Cu2O,20.0,3.7750000000000004,100,200.0,medium,6.78,14.21
168,grid_search,Cu2O,20.0,3.7750000000000004,100,200.0,high,5.34,14.21
169,grid_search,Cu2O,20.0,3.7750000000000004,100,300.0,low,6.14,14.21
170,grid_search,Cu2O,20.0,3.7750000000000004,100,300.0,medium,9.2,14.21
171,grid_search,Cu2O,20.0,3.7750000000000004,100,300.0,high,1.83,14.21
172,grid_search,Cu2O,20.0,3.7750000000000004,100,400.0,low,9.57,14.21
173,grid_search,Cu2O,20.0,3.7750000000000004,100,400.0,medium,4.88,14.21
174,grid_search,Cu2O,20.0,3.7750000000000004,100,400.0,high,4.38,14.21
175,grid_search,Cu2O,20.0,3.7750000000000004,100,500.0,low,9.53,14.21
176,grid_search,Cu2O,20.0,3.7750000000000004,100,500.0,medium,1.0,14.21
177,grid_search,Cu2O,20.0,3.7750000000000004,100,500.0,high,3.08,14.21
178,grid_search,Cu2O,20.0,3.7750000000000004,100,600.0,low,8.13,14.21
179,grid_search,Cu2O,20.0,3.7750000000000004,100,600.0,medium,2.92,14.21
180,grid_search,Cu2O,20.0,3.7750000000000004,100,600.0,high,6.08,14.21
181,grid_search,Cu2O,20.0,5.0,111,200.0,low,1.82,14.21
182,grid_search,Cu2O,20.0,5.0,111,200.0,medium,9.3,14.21
183,grid_search,Cu2O,20.0,5.0,111,200.0,high,3.23,14.21
184,grid_search,Cu2O,20.0,5.0,111,300.0,low,7.27,14.21
185,grid_search,Cu2O,20.0,5.0,111,300.0,medium,5.21,14.21
186,grid_search,Cu2O,20.0,5.0,111,300.0,high,7.7,14.21
187,grid_search,Cu2O,20.0,5.0,111,400.0,low,9.11,14.21
188,grid_search,Cu2O,20.0,5.0,111,400.0,medium,4.22,14.21
189,grid_search,Cu2O,20.0,5.0,111,400.0,high,9.43,14.21
190,grid_search,Cu2O,20.0,5.0,111,500.0,low,6.63,14.21
191,grid_search,Cu2O,20.0,5.0,111,500.0,medium,3.2,14.21
192,grid_search,Cu2O,20.0,5.0,111,500.0,high,3.09,14.21
193,grid_search,Cu2O,20.0,5.0,111,600.0,low,2.55,14.21
194,grid_search,Cu2O,20.0,5.0,111,600.0,medium,2.44,14.21
195,grid_search,Cu2O,20.0,5.0,111,600.0,high,1.71,14.21
196,grid_search,Cu2O,20.0,5.0,110,200.0,low,7.44,14.21
197,grid_search,Cu2O,20.0,5.0,110,200.0,medium,4.87,14.21
198,grid_search,Cu2O,20.0,5.0,110,200.0,high,6.43,14.21
199,grid_search,Cu2O,20.0,5.0,110,300.0,low,10.65,14.21
200,grid_search,Cu2O,20.0,5.0,110,300.0,medium,7.47,14.21
201,grid_search,Cu2O,20.0,5.0,110,300.0,high,4.53,14.21
202,grid_search,Cu2O,20.0,5.0,110,400.0,low,1.55,14.21
203,grid_search,Cu2O,20.0,5.0,110,400.0,medium,2.35,14.21
204,grid_search,Cu2O,20.0,5.0,110,400.0,high,2.25,14.21
205,grid_search,Cu2O,20.0,5.0,110,500.0,low,3.9,14.21
206,grid_search,Cu2O,20.0,5.0,110,500.0,medium,5.65,14.21
207,grid_search,Cu2O,20.0,5.0,110,500.0,high,3.87,14.21
208,grid_search,Cu2O,20.0,5.0,110,600.0,low,1.92,14.21
209,grid_search,Cu2O,20.0,5.0,110,600.0,medium,3.24,14.21
210,grid_search,Cu2O,20.0,5.0,110,600.0,high,7.06,14.21
211,grid_search,Cu2O,20.0,5.0,100,200.0,low,1.0,14.21
212,grid_search,Cu2O,20.0,5.0,100,200.0,medium,8.1,14.21
213,grid_search,Cu2O,20.0,5.0,100,200.0,high,10.59,14.21
214,grid_search,Cu2O,20.0,5.0,100,300.0,low,1.77,14.21
215,grid_search,Cu2O,20.0,5.0,100,300.0,medium,8.86,14.21
216,grid_search,Cu2O,20.0,5.0,100,300.0,high,10.81,14.21
217,grid_search,Cu2O,20.0,5.0,100,400.0,low,8.04,14.21
218,grid_search,Cu2O,20.0,5.0,100,400.0,medium,5.17,14.21
219,grid_search,Cu2O,20.0,5.0,100,400.0,high,1.0,14.21
220,grid_search,Cu2O,20.0,5.0,100,500.0,low,4.27,14.21
221,grid_search,Cu2O,20.0,5.0,100,500.0,medium,7.09,14.21
222,grid_search,Cu2O,20.0,5.0,100,500.0,high,6.57,14.21
223,grid_search,Cu2O,20.0,5.0,100,600.0,low,6.95,14.21
224,grid_search,Cu2O,20.0,5.0,100,600.0,medium,2.41,14.21
225,grid_search,Cu2O,20.0,5.0,100,600.0,high,5.23,14.21
226,grid_search,Cu2O,90.0,0.1,111,200.0,low,6.57,14.21
227,grid_search,Cu2O,90.0,0.1,111,200.0,medium,8.69,14.21
228,grid_search,Cu2O,90.0,0.1,111,200.0,high,4.37,14.21
229,grid_search,Cu2O,90.0,0.1,111,300.0,low,3.9,14.21
230,grid_search,Cu2O,90.0,0.1,111,300.0,medium,6.89,14.21
231,grid_search,Cu2O,90.0,0.1,111,300.0,high,2.4,14.21
232,grid_search,Cu2O,90.0,0.1,111,400.0,low,3.43,14.21
233,grid_search,Cu2O,90.0,0.1,111,400.0,medium,10.35,14.21
234,grid_search,Cu2O,90.0,0.1,111,400.0,high,3.88,14.21
235,grid_search,Cu2O,90.0,0.1,111,500.0,low,4.77,14.21
236,grid_search,Cu2O,90.0,0.1,111,500.0,medium,1.0,14.21
237,grid_search,Cu2O,90.0,0.1,111,500.0,high,4.85,14.21
238,grid_search,Cu2O,90.0,0.1,111,600.0,low,5.18,14.21
239,grid_search,Cu2O,90.0,0.1,111,600.0,medium,3.93,14.21
240,grid_search,Cu2O,90.0,0.1,111,600.0,high,1.0,14.21
241,grid_search,Cu2O,90.0,0.1,110,200.0,low,6.45,14.21
242,grid_search,Cu2O,90.0,0.1,110,200.0,medium,3.77,14.21
243,grid_search,Cu2O,90.0,0.1,110,200.0,high,2.49,14.21
244,grid_search,Cu2O,90.0,0.1,110,300.0,low,3.45,14.21
245,grid_search,Cu2O,90.0,0.1,110,300.0,medium,10.14,14.21
246,grid_search,Cu2O,90.0,0.1,110,300.0,high,2.97,14.21
247,grid_search,Cu2O,90.0,0.1,110,400.0,low,6.24,14.21
248,grid_search,Cu2O,90.0,0.1,110,400.0,medium,9.5,14.21
249,grid_search,Cu2O,90.0,0.1,110,400.0,high,4.71,14.21
250,grid_search,Cu2O,90.0,0.1,110,500.0,low,1.0,14.21
251,grid_search,Cu2O,90.0,0.1,110,500.0,medium,9.11,14.21
252,grid_search,Cu2O,90.0,0.1,110,500.0,high,1.0,14.21
253,grid_search,Cu2O,90.0,0.1,110,600.0,low,7.69,14.21
