iteration,method,composition,particle_size_nm,metal_loading_wt_pct,facet,calcination_temp_C,defect_density,activity,best_so_far
1052,grid_search,Cu2O,300.0,3.7750000000000004,110,200.0,medium,1.0,14.21
1053,grid_search,Cu2O,300.0,3.7750000000000004,110,200.0,high,8.1,14.21
1054,grid_search,Cu2O,300.0,3.7750000000000004,110,300.0,low,2.25,14.21
1055,grid_search,Cu2O,300.0,3.7750000000000004,110,300.0,medium,5.83,14.21
1056,grid_search,Cu2O,300.0,3.7750000000000004,110,300.0,high,1.91,14.21
1057,grid_search,Cu2O,300.0,3.7750000000000004,110,400.0,low,4.88,14.21
1058,grid_search,Cu2O,300.0,3.7750000000000004,110,400.0,medium,1.0,14.21
1059,grid_search,Cu2O,300.0,3.7750000000000004,110,400.0,high,1.59,14.21
1060,grid_search,Cu2O,300.0,3.7750000000000004,110,500.0,low,1.0,14.21
1061,grid_search,Cu2O,300.0,3.7750000000000004,110,500.0,medium,7.79,14.21
1062,grid_search,Cu2O,300.0,3.7750000000000004,110,500.0,high,6.24,14.21
1063,grid_search,Cu2O,300.0,3.7750000000000004,110,600.0,low,1.0,14.21
1064,grid_search,Cu2O,300.0,3.7750000000000004,110,600.0,medium,2.03,14.21
1065,grid_search,Cu2O,300.0,3.7750000000000004,110,600.0,high,1.0,14.21
1066,grid_search,Cu2O,300.0,3.7750000000000004,100,200.0,low,5.63,14.21
1067,grid_search,Cu2O,300.0,3.7750000000000004,100,200.0,medium,3.85,14.21
1068,grid_search,Cu2O,300.0,3.7750000000000004,100,200.0,high,4.22,14.21
1069,grid_search,Cu2O,300.0,3.7750000000000004,100,300.0,low,5.63,14.21
1070,grid_search,Cu2O,300.0,3.7750000000000004,100,300.0,medium,10.19,14.21
1071,grid_search,Cu2O,300.0,3.7750000000000004,100,300.0,high,1.0,14.21
1072,grid_search,Cu2O,300.0,3.7750000000000004,100,400.0,low,1.45,14.21
1073,grid_search,Cu2O,300.0,3.7750000000000004,100,400.0,medium,1.38,14.21
1074,grid_search,Cu2O,300.0,3.7750000000000004,100,400.0,high,3.7,14.21
1075,grid_search,Cu2O,300.0,3.7750000000000004,100,500.0,low,1.4,14.21
1076,grid_search,Cu2O,300.0,3.7750000000000004,100,500.0,medium,3.57,14.21
1077,grid_search,Cu2O,300.0,3.7750000000000004,100,500.0,high,6.52,14.21
1078,grid_search,Cu2O,300.0,3.7750000000000004,100,600.0,low,1.61,14.21
1079,grid_search,Cu2O,300.0,3.7750000000000004,100,600.0,medium,1.0,14.21
1080,grid_search,Cu2O,300.0,3.7750000000000004,100,600.0,high,7.59,14.21
1081,grid_search,Cu2O,300.0,5.0,111,200.0,low,4.6,14.21
1082,grid_search,Cu2O,300.0,5.0,111,200.0,medium,1.06,14.21
1083,grid_search,Cu2O,300.0,5.0,111,200.0,high,3.08,14.21
1084,grid_search,Cu2O,300.0,5.0,111,300.0,low,2.27,14.21
1085,grid_search,Cu2O,300.0,5.0,111,300.0,medium,4.08,14.21
1086,grid_search,Cu2O,300.0,5.0,111,300.0,high,7.78,14.21
1087,grid_search,Cu2O,300.0,5.0,111,400.0,low,6.73,14.21
1088,grid_search,Cu2O,300.0,5.0,111,400.0,medium,3.31,14.21
1089,grid_search,Cu2O,300.0,5.0,111,400.0,high,3.45,14.21
1090,grid_search,Cu2O,300.0,5.0,111,500.0,low,3.23,14.21
1091,grid_search,Cu2O,300.0,5.0,111,500.0,medium,1.0,14.21
1092,grid_search,Cu2O,300.0,5.0,111,500.0,high,8.61,14.21
1093,grid_search,Cu2O,300.0,5.0,111,600.0,low,1.0,14.21
1094,grid_search,Cu2O,300.0,5.0,111,600.0,medium,5.98,14.21
1095,grid_search,Cu2O,300.0,5.0,111,600.0,high,1.08,14.21
1096,grid_search,Cu2O,300.0,5.0,110,200.0,low,1.0,14.21
1097,grid_search,Cu2O,300.0,5.0,110,200.0,medium,3.02,14.21
1098,grid_search,Cu2O,300.0,5.0,110,200.0,high,1.22,14.21
1099,grid_search,Cu2O,300.0,5.0,110,300.0,low,3.86,14.21
1100,grid_search,Cu2O,300.0,5.0,110,300.0,medium,4.4,14.21
1101,grid_search,Cu2O,300.0,5.0,110,300.0,high,2.07,14.21
1102,grid_search,Cu2O,300.0,5.0,110,400.0,low,2.2,14.21
1103,grid_search,Cu2O,300.0,5.0,110,400.0,medium,1.0,14.21
1104,grid_search,Cu2O,300.0,5.0,110,400.0,high,4.52,14.21
1105,grid_search,Cu2O,300.0,5.0,110,500.0,low,11.14,14.21
1106,grid_search,Cu2O,300.0,5.0,110,500.0,medium,1.0,14.21
1107,grid_search,Cu2O,300.0,5.0,110,500.0,high,3.66,14.21
1108,grid_search,Cu2O,300.0,5.0,110,600.0,low,4.8,14.21
1109,grid_search,Cu2O,300.0,5.0,110,600.0,medium,2.27,14.21
1110,grid_search,Cu2O,300.0,5.0,110,600.0,high,4.01,14.21
1111,grid_search,Cu2O,300.0,5.0,100,200.0,low,1.0,14.21
1112,grid_search,Cu2O,300.0,5.0,100,200.0,medium,4.89,14.21
1113,grid_search,Cu2O,300.0,5.0,100,200.0,high,1.0,14.21
1114,grid_search,Cu2O,300.0,5.0,100,300.0,low,1.0,14.21
1115,grid_search,Cu2O,300.0,5.0,100,300.0,medium,1.0,14.21
1116,grid_search,Cu2O,300.0,5.0,100,300.0,high,2.85,14.21
1117,grid_search,Cu2O,300.0,5.0,100,400.0,low,3.42,14.21
1118,grid_search,Cu2O,300.0,5.0,100,400.0,medium,10.73,14.21
1119,grid_search,Cu2O,300.0,5.0,100,400.0,high,2.53,14.21
1120,grid_search,Cu2O,300.0,5.0,100,500.0,low,1.0,14.21
1121,grid_search,Cu2O,300.0,5.0,100,500.0,medium,1.0,14.21
1122,grid_search,Cu2O,300.0,5.0,100,500.0,high,6.39,14.21
1123,grid_search,Cu2O,300.0,5.0,100,600.0,low,6.29,14.21
1124,grid_search,Cu2O,300.0,5.0,100,600.0,medium,1.0,14.21
1125,grid_search,Cu2O,300.0,5.0,100,600.0,high,3.85,14.21
1126,grid_search,Cu2O-Pd,20.0,0.1,111,200.0,low,51.93,51.93
1127,grid_search,Cu2O-Pd,20.0,0.1,111,200.0,medium,48.22,51.93
1128,grid_search,Cu2O-Pd,20.0,0.1,111,200.0,high,50.34,51.93
1129,grid_search,Cu2O-Pd,20.0,0.1,111,300.0,low,51.27,51.93
1130,grid_search,Cu2O-Pd,20.0,0.1,111,300.0,medium,56.45,56.45
1131,grid_search,Cu2O-Pd,20.0,0.1,111,300.0,high,49.0,56.45
1132,grid_search,Cu2O-Pd,20.0,0.1,111,400.0,low,53.54,56.45
1133,grid_search,Cu2O-Pd,20.0,0.1,111,400.0,medium,55.37,56.45
1134,grid_search,Cu2O-Pd,20.0,0.1,111,400.0,high,53.79,56.45
1135,grid_search,Cu2O-Pd,20.0,0.1,111,500.0,low,43.58,56.45
1136,grid_search,Cu2O-Pd,20.0,0.1,111,500.0,medium,47.23,56.45
1137,grid_search,Cu2O-Pd,20.0,0.1,111,500.0,high,41.55,56.45
1138,grid_search,Cu2O-Pd,20.0,0.1,111,600.0,low,44.38,56.45
1139,grid_search,Cu2O-Pd,20.0,0.1,111,600.0,medium,41.81,56.45
1140,grid_search,Cu2O-Pd,20.0,0.1,111,600.0,high,35.92,56.45
1141,grid_search,Cu2O-Pd,20.0,0.1,110,200.0,low,43.22,56.45
1142,grid_search,Cu2O-Pd,20.0,0.1,110,200.0,medium,40.92,56.45
1143,grid_search,Cu2O-Pd,20.0,0.1,110,200.0,high,34.2,56.45
1144,grid_search,Cu2O-Pd,20.0,0.1,110,300.0,low,39.27,56.45
1145,grid_search,Cu2O-Pd,20.0,0.1,110,300.0,medium,50.02,56.45
1146,grid_search,Cu2O-Pd,20.0,0.1,110,300.0,high,39.49,56.45
1147,grid_search,Cu2O-Pd,20.0,0.1,110,400.0,low,45.01,56.45
1148,grid_search,Cu2O-Pd,20.0,0.1,110,400.0,medium,49.09,56.45
1149,grid_search,Cu2O-Pd,20.0,0.1,110,400.0,high,47.02,56.45
1150,grid_search,Cu2O-Pd,20.0,0.1,110,500.0,low,39.61,56.45
1151,grid_search,Cu2O-Pd,20.0,0.1,110,500.0,medium,46.44,56.45
1152,grid_search,Cu2O-Pd,20.0,0.1,110,500.0,high,38.16,56.45
1153,grid_search,Cu2O-Pd,20.0,0.1,110,600.0,low,31.27,56.45
1154,grid_search,Cu2O-Pd,20.0,0.1,110,600.0,medium,33.45,56.45
1155,grid_search,Cu2O-Pd,20.0,0.1,110,600.0,high,32.95,56.45
1156,grid_search,Cu2O-Pd,20.0,0.1,100,200.0,low,36.66,56.45
1157,grid_search,Cu2O-Pd,20.0,0.1,100,200.0,medium,38.68,56.45
1158,grid_search,Cu2O-Pd,20.0,0.1,100,200.0,high,31.8,56.45
1159,grid_search,Cu2O-Pd,20.0,0.1,100,300.0,low,39.46,56.45
1160,grid_search,Cu2O-Pd,20.0,0.1,100,300.0,medium,46.56,56.45
1161,grid_search,Cu2O-Pd,20.0,0.1,100,300.0,high,34.04,56.45
1162,grid_search,Cu2O-Pd,20.0,0.1,100,400.0,low,39.71,56.45
1163,grid_search,Cu2O-Pd,20.0,0.1,100,400.0,medium,44.66,56.45
1164,grid_search,Cu2O-Pd,20.0,0.1,100,400.0,high,33.72,56.45
1165,grid_search,Cu2O-Pd,20.0,0.1,100,500.0,low,35.51,56.45
1166,grid_search,Cu2O-Pd,20.0,0.1,100,500.0,medium,34.93,56.45
1167,grid_search,Cu2O-Pd,20.0,0.1,100,500.0,high,31.48,56.45
1168,grid_search,Cu2O-Pd,20.0,0.1,100,600.0,low,30.96,56.45
1169,grid_search,Cu2O-Pd,20.0,0.1,100,600.0,medium,30.91,56.45
1170,grid_search,Cu2O-Pd,20.0,0.1,100,600.0,high,24.42,56.45
1171,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,200.0,low,61.67,61.67
1172,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,200.0,medium,71.73,71.73
1173,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,200.0,high,68.29,71.73
1174,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,300.0,low,76.07,76.07
1175,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,300.0,medium,83.26,83.26
1176,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,300.0,high,74.71,83.26
1177,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,400.0,low,79.16,83.26
1178,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,400.0,medium,82.76,83.26
1179,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,400.0,high,72.65,83.26
1180,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,500.0,low,65.33,83.26
1181,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,500.0,medium,77.43,83.26
1182,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,500.0,high,59.52,83.26
1183,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,600.0,low,56.37,83.26
1184,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,600.0,medium,59.56,83.26
1185,grid_search,Cu2O-Pd,20.0,1.3250000000000002,111,600.0,high,55.89,83.26
1186,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,200.0,low,58.68,83.26
1187,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,200.0,medium,55.58,83.26
1188,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,200.0,high,55.18,83.26
1189,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,300.0,low,65.71,83.26
1190,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,300.0,medium,73.58,83.26
1191,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,300.0,high,66.26,83.26
1192,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,400.0,low,66.29,83.26
1193,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,400.0,medium,73.56,83.26
1194,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,400.0,high,57.95,83.26
1195,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,500.0,low,61.79,83.26
1196,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,500.0,medium,60.85,83.26
1197,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,500.0,high,55.32,83.26
1198,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,600.0,low,45.16,83.26
1199,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,600.0,medium,52.3,83.26
1200,grid_search,Cu2O-Pd,20.0,1.3250000000000002,110,600.0,high,47.08,83.26
1201,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,200.0,low,54.69,83.26
1202,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,200.0,medium,53.11,83.26
1203,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,200.0,high,43.73,83.26
1204,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,300.0,low,55.03,83.26
1205,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,300.0,medium,66.08,83.26
1206,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,300.0,high,53.79,83.26
1207,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,400.0,low,57.87,83.26
1208,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,400.0,medium,60.22,83.26
1209,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,400.0,high,55.18,83.26
1210,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,500.0,low,49.68,83.26
1211,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,500.0,medium,56.35,83.26
1212,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,500.0,high,50.62,83.26
1213,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,600.0,low,37.97,83.26
1214,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,600.0,medium,45.17,83.26
1215,grid_search,Cu2O-Pd,20.0,1.3250000000000002,100,600.0,high,37.0,83.26
1216,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,200.0,low,72.17,83.26
1217,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,200.0,medium,74.71,83.26
1218,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,200.0,high,63.46,83.26
1219,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,300.0,low,75.77,83.26
1220,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,300.0,medium,85.11,85.11
1221,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,300.0,high,79.22,85.11
1222,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,400.0,low,79.11,85.11
1223,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,400.0,medium,84.15,85.11
1224,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,400.0,high,81.42,85.11
1225,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,500.0,low,69.11,85.11
1226,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,500.0,medium,71.93,85.11
1227,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,500.0,high,64.58,85.11
1228,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,600.0,low,58.1,85.11
1229,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,600.0,medium,66.8,85.11
1230,grid_search,Cu2O-Pd,20.0,2.5500000000000003,111,600.0,high,53.78,85.11
1231,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,200.0,low,58.53,85.11
1232,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,200.0,medium,63.46,85.11
1233,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,200.0,high,54.19,85.11
1234,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,300.0,low,61.2,85.11
1235,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,300.0,medium,73.51,85.11
1236,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,300.0,high,63.49,85.11
1237,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,400.0,low,66.56,85.11
1238,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,400.0,medium,76.3,85.11
1239,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,400.0,high,61.79,85.11
1240,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,500.0,low,60.26,85.11
1241,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,500.0,medium,66.61,85.11
1242,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,500.0,high,58.18,85.11
1243,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,600.0,low,46.68,85.11
1244,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,600.0,medium,50.93,85.11
1245,grid_search,Cu2O-Pd,20.0,2.5500000000000003,110,600.0,high,49.5,85.11
1246,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,200.0,low,53.08,85.11
1247,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,200.0,medium,56.19,85.11
1248,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,200.0,high,49.08,85.11
1249,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,300.0,low,57.88,85.11
1250,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,300.0,medium,65.48,85.11
1251,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,300.0,high,54.48,85.11
1252,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,400.0,low,56.97,85.11
1253,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,400.0,medium,69.28,85.11
1254,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,400.0,high,58.01,85.11
1255,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,500.0,low,49.19,85.11
1256,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,500.0,medium,54.72,85.11
1257,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,500.0,high,54.89,85.11
1258,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,600.0,low,41.82,85.11
1259,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,600.0,medium,44.42,85.11
1260,grid_search,Cu2O-Pd,20.0,2.5500000000000003,100,600.0,high,44.62,85.11
1261,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,200.0,low,45.39,85.11
1262,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,200.0,medium,48.57,85.11
1263,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,200.0,high,45.26,85.11
1264,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,300.0,low,55.45,85.11
1265,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,300.0,medium,59.08,85.11
1266,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,300.0,high,56.93,85.11
1267,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,400.0,low,59.12,85.11
1268,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,400.0,medium,56.64,85.11
1269,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,400.0,high,50.1,85.11
1270,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,500.0,low,47.14,85.11
1271,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,500.0,medium,54.82,85.11
1272,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,500.0,high,45.36,85.11
1273,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,600.0,low,42.96,85.11
1274,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,600.0,medium,43.39,85.11
1275,grid_search,Cu2O-Pd,20.0,3.7750000000000004,111,600.0,high,42.12,85.11
1276,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,200.0,low,38.96,85.11
1277,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,200.0,medium,47.35,85.11
1278,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,200.0,high,38.91,85.11
1279,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,300.0,low,46.93,85.11
1280,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,300.0,medium,49.27,85.11
1281,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,300.0,high,51.96,85.11
1282,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,400.0,low,48.8,85.11
1283,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,400.0,medium,55.45,85.11
1284,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,400.0,high,41.57,85.11
1285,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,500.0,low,40.69,85.11
1286,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,500.0,medium,41.98,85.11
1287,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,500.0,high,38.07,85.11
1288,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,600.0,low,38.34,85.11
1289,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,600.0,medium,38.65,85.11
1290,grid_search,Cu2O-Pd,20.0,3.7750000000000004,110,600.0,high,36.86,85.11
1291,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,200.0,low,37.41,85.11
1292,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,200.0,medium,43.03,85.11
1293,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,200.0,high,34.89,85.11
1294,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,300.0,low,37.84,85.11
1295,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,300.0,medium,51.14,85.11
1296,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,300.0,high,38.16,85.11
1297,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,400.0,low,41.26,85.11
1298,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,400.0,medium,47.48,85.11
1299,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,400.0,high,43.63,85.11
1300,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,500.0,low,36.65,85.11
1301,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,500.0,medium,39.82,85.11
1302,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,500.0,high,37.75,85.11
1303,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,600.0,low,27.68,85.11
1304,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,600.0,medium,28.97,85.11
1305,grid_search,Cu2O-Pd,20.0,3.7750000000000004,100,600.0,high,29.61,85.11
1306,grid_search,Cu2O-Pd,20.0,5.0,111,200.0,low,39.19,85.11
1307,grid_search,Cu2O-Pd,20.0,5.0,111,200.0,medium,43.57,85.11
1308,grid_search,Cu2O-Pd,20.0,5.0,111,200.0,high,40.35,85.11
1309,grid_search,Cu2O-Pd,20.0,5.0,111,300.0,low,44.06,85.11
1310,grid_search,Cu2O-Pd,20.0,5.0,111,300.0,medium,41.6,85.11
1311,grid_search,Cu2O-Pd,20.0,5.0,111,300.0,high,35.8,85.11
1312,grid_search,Cu2O-Pd,20.0,5.0,111,400.0,low,49.07,85.11
1313,grid_search,Cu2O-Pd,20.0,5.0,111,400.0,medium,47.15,85.11
1314,grid_search,Cu2O-Pd,20.0,5.0,111,400.0,high,41.04,85.11
1315,grid_search,Cu2O-Pd,20.0,5.0,111,500.0,low,36.06,85.11
1316,grid_search,Cu2O-Pd,20.0,5.0,111,500.0,medium,33.95,85.11
1317,grid_search,Cu2O-Pd,20.0,5.0,111,500.0,high,37.23,85.11
1318,grid_search,Cu2O-Pd,20.0,5.0,111,600.0,low,34.38,85.11
1319,grid_search,Cu2O-Pd,20.0,5.0,111,600.0,medium,32.96,85.11
1320,grid_search,Cu2O-Pd,20.0,5.0,111,600.0,high,27.2,85.11
1321,grid_search,Cu2O-Pd,20.0,5.0,110,200.0,low,32.66,85.11
1322,grid_search,Cu2O-Pd,20.0,5.0,110,200.0,medium,34.79,85.11
1323,grid_search,Cu2O-Pd,20.0,5.0,110,200.0,high,30.18,85.11
1324,grid_search,Cu2O-Pd,20.0,5.0,110,300.0,low,35.13,85.11
1325,grid_search,Cu2O-Pd,20.0,5.0,110,300.0,medium,37.36,85.11
1326,grid_search,Cu2O-Pd,20.0,5.0,110,300.0,high,36.75,85.11
1327,grid_search,Cu2O-Pd,20.0,5.0,110,400.0,low,42.11,85.11
1328,grid_search,Cu2O-Pd,20.0,5.0,110,400.0,medium,38.58,85.11
1329,grid_search,Cu2O-Pd,20.0,5.0,110,400.0,high,35.01,85.11
1330,grid_search,Cu2O-Pd,20.0,5.0,110,500.0,low,32.0,85.11
1331,grid_search,Cu2O-Pd,20.0,5.0,110,500.0,medium,34.31,85.11
1332,grid_search,Cu2O-Pd,20.0,5.0,110,500.0,high,27.02,85.11
1333,grid_search,Cu2O-Pd,20.0,5.0,110,600.0,low,26.15,85.11
1334,grid_search,Cu2O-Pd,20.0,5.0,110,600.0,medium,29.48,85.11
1335,grid_search,Cu2O-Pd,20.0,5.0,110,600.0,high,23.88,85.11
1336,grid_search,Cu2O-Pd,20.0,5.0,100,200.0,low,31.16,85.11
1337,grid_search,Cu2O-Pd,20.0,5.0,100,200.0,medium,30.85,85.11
1338,grid_search,Cu2O-Pd,20.0,5.0,100,200.0,high,32.63,85.11
1339,grid_search,Cu2O-Pd,20.0,5.0,100,300.0,low,30.31,85.11
1340,grid_search,Cu2O-Pd,20.0,5.0,100,300.0,medium,39.1,85.11
1341,grid_search,Cu2O-Pd,20.0,5.0,100,300.0,high,34.88,85.11
1342,grid_search,Cu2O-Pd,20.0,5.0,100,400.0,low,30.59,85.11
1343,grid_search,Cu2O-Pd,20.0,5.0,100,400.0,medium,36.68,85.11
1344,grid_search,Cu2O-Pd,20.0,5.0,100,400.0,high,28.72,85.11
1345,grid_search,Cu2O-Pd,20.0,5.0,100,500.0,low,27.08,85.11
1346,grid_search,Cu2O-Pd,20.0,5.0,100,500.0,medium,35.75,85.11
1347,grid_search,Cu2O-Pd,20.0,5.0,100,500.0,high,27.3,85.11
1348,grid_search,Cu2O-Pd,20.0,5.0,100,600.0,low,22.14,85.11
1349,grid_search,Cu2O-Pd,20.0,5.0,100,600.0,medium,25.96,85.11
1350,grid_search,Cu2O-Pd,20.0,5.0,100,600.0,high,22.06,85.11
1351,grid_search,Cu2O-Pd,90.0,0.1,111,200.0,low,48.58,85.11
1352,grid_search,Cu2O-Pd,90.0,0.1,111,200.0,medium,51.19,85.11
1353,grid_search,Cu2O-Pd,90.0,0.1,111,200.0,high,40.21,85.11
1354,grid_search,Cu2O-Pd,90.0,0.1,111,300.0,low,53.96,85.11
1355,grid_search,Cu2O-Pd,90.0,0.1,111,300.0,medium,52.33,85.11
1356,grid_search,Cu2O-Pd,90.0,0.1,111,300.0,high,43.56,85.11
1357,grid_search,Cu2O-Pd,90.0,0.1,111,400.0,low,47.82,85.11
1358,grid_search,Cu2O-Pd,90.0,0.1,111,400.0,medium,59.63,85.11
1359,grid_search,Cu2O-Pd,90.0,0.1,111,400.0,high,50.79,85.11
1360,grid_search,Cu2O-Pd,90.0,0.1,111,500.0,low,46.32,85.11
1361,grid_search,Cu2O-Pd,90.0,0.1,111,500.0,medium,46.16,85.11
1362,grid_search,Cu2O-Pd,90.0,0.1,111,500.0,high,40.76,85.11
1363,grid_search,Cu2O-Pd,90.0,0.1,111,600.0,low,36.82,85.11
1364,grid_search,Cu2O-Pd,90.0,0.1,111,600.0,medium,38.73,85.11
1365,grid_search,Cu2O-Pd,90.0,0.1,111,600.0,high,29.57,85.11
1366,grid_search,Cu2O-Pd,90.0,0.1,110,200.0,low,36.08,85.11
1367,grid_search,Cu2O-Pd,90.0,0.1,110,200.0,medium,33.2,85.11
1368,grid_search,Cu2O-Pd,90.0,0.1,110,200.0,high,30.64,85.11
