method,seed,iteration,activity,best_so_far,regret
random_search,1,46,32.15,55.03,41.97
random_search,1,47,54.63,55.03,41.97
random_search,1,48,54.91,55.03,41.97
random_search,1,49,24.77,55.03,41.97
random_search,1,50,3.98,55.03,41.97
bayesian_optimization,1,1,28.56,28.56,68.44
bayesian_optimization,1,2,24.93,28.56,68.44
bayesian_optimization,1,3,64.44,64.44,32.56
bayesian_optimization,1,4,21.32,64.44,32.56
bayesian_optimization,1,5,23.39,64.44,32.56
bayesian_optimization,1,6,25.08,64.44,32.56
bayesian_optimization,1,7,25.87,64.44,32.56
bayesian_optimization,1,8,42.88,64.44,32.56
bayesian_optimization,1,9,2.81,64.44,32.56
bayesian_optimization,1,10,13.72,64.44,32.56
bayesian_optimization,1,11,37.98,64.44,32.56
bayesian_optimization,1,12,64.53,64.53,32.47
bayesian_optimization,1,13,34.2,64.53,32.47
bayesian_optimization,1,14,52.77,64.53,32.47
bayesian_optimization,1,15,48.85,64.53,32.47
bayesian_optimization,1,16,67.67,67.67,29.33
bayesian_optimization,1,17,56.43,67.67,29.33
bayesian_optimization,1,18,43.98,67.67,29.33
bayesian_optimization,1,19,42.42,67.67,29.33
bayesian_optimization,1,20,57.54,67.67,29.33
bayesian_optimization,1,21,62.53,67.67,29.33
bayesian_optimization,1,22,64.96,67.67,29.33
bayesian_optimization,1,23,79.68,79.68,17.32
bayesian_optimization,1,24,57.78,79.68,17.32
bayesian_optimization,1,25,89.79,89.79,7.21
bayesian_optimization,1,26,66.12,89.79,7.21
bayesian_optimization,1,27,89.42,89.79,7.21
bayesian_optimization,1,28,89.45,89.79,7.21
bayesian_optimization,1,29,99.5,99.5,-2.5
bayesian_optimization,1,30,88.21,99.5,-2.5
bayesian_optimization,1,31,94.86,99.5,-2.5
bayesian_optimization,1,32,92.59,99.5,-2.5
bayesian_optimization,1,33,8.46,99.5,-2.5
bayesian_optimization,1,34,4.07,99.5,-2.5
bayesian_optimization,1,35,37.54,99.5,-2.5
bayesian_optimization,1,36,46.41,99.5,-2.5
bayesian_optimization,1,37,23.75,99.5,-2.5
bayesian_optimization,1,38,74.44,99.5,-2.5
bayesian_optimization,1,39,2.52,99.5,-2.5
bayesian_optimization,1,40,5.04,99.5,-2.5
bayesian_optimization,1,41,92.56,99.5,-2.5
bayesian_optimization,1,42,16.37,99.5,-2.5
bayesian_optimization,1,43,89.97,99.5,-2.5
bayesian_optimization,1,44,17.05,99.5,-2.5
bayesian_optimization,1,45,32.86,99.5,-2.5
bayesian_optimization,1,46,5.65,99.5,-2.5
bayesian_optimization,1,47,95.78,99.5,-2.5
bayesian_optimization,1,48,98.66,99.5,-2.5
bayesian_optimization,1,49,95.39,99.5,-2.5
bayesian_optimization,1,50,91.53,99.5,-2.5
random_search,2,1,41.24,41.24,55.76
random_search,2,2,39.45,41.24,55.76
random_search,2,3,12.8,41.24,55.76
random_search,2,4,15.59,41.24,55.76
random_search,2,5,3.69,41.24,55.76
random_search,2,6,6.58,41.24,55.76
random_search,2,7,1.54,41.24,55.76
random_search,2,8,48.44,48.44,48.56
random_search,2,9,28.21,48.44,48.56
random_search,2,10,20.99,48.44,48.56
random_search,2,11,58.19,58.19,38.81
random_search,2,12,13.63,58.19,38.81
random_search,2,13,6.49,58.19,38.81
random_search,2,14,34.12,58.19,38.81
random_search,2,15,41.4,58.19,38.81
random_search,2,16,58.5,58.5,38.5
random_search,2,17,10.7,58.5,38.5
random_search,2,18,22.27,58.5,38.5
random_search,2,19,37.43,58.5,38.5
random_search,2,20,25.23,58.5,38.5
random_search,2,21,19.39,58.5,38.5
random_search,2,22,49.37,58.5,38.5
random_search,2,23,48.22,58.5,38.5
random_search,2,24,33.41,58.5,38.5
random_search,2,25,18.05,58.5,38.5
random_search,2,26,34.5,58.5,38.5
random_search,2,27,59.7,59.7,37.3
random_search,2,28,10.58,59.7,37.3
random_search,2,29,43.62,59.7,37.3
random_search,2,30,9.88,59.7,37.3
random_search,2,31,5.99,59.7,37.3
random_search,2,32,48.23,59.7,37.3
random_search,2,33,20.19,59.7,37.3
random_search,2,34,21.1,59.7,37.3
random_search,2,35,17.08,59.7,37.3
random_search,2,36,10.23,59.7,37.3
random_search,2,37,28.92,59.7,37.3
random_search,2,38,15.63,59.7,37.3
random_search,2,39,46.12,59.7,37.3
random_search,2,40,63.5,63.5,33.5
random_search,2,41,5.09,63.5,33.5
random_search,2,42,36.56,63.5,33.5
random_search,2,43,27.8,63.5,33.5
random_search,2,44,20.15,63.5,33.5
random_search,2,45,2.3,63.5,33.5
random_search,2,46,13.08,63.5,33.5
random_search,2,47,39.97,63.5,33.5
random_search,2,48,24.57,63.5,33.5
random_search,2,49,25.37,63.5,33.5
random_search,2,50,23.97,63.5,33.5
bayesian_optimization,2,1,4.31,4.31,92.69
bayesian_optimization,2,2,24.59,24.59,72.41
bayesian_optimization,2,3,46.47,46.47,50.53
bayesian_optimization,2,4,3.07,46.47,50.53
bayesian_optimization,2,5,37.07,46.47,50.53
bayesian_optimization,2,6,37.98,46.47,50.53
bayesian_optimization,2,7,42.56,46.47,50.53
bayesian_optimization,2,8,48.55,48.55,48.45
bayesian_optimization,2,9,22.9,48.55,48.45
bayesian_optimization,2,10,3.02,48.55,48.45
bayesian_optimization,2,11,36.9,48.55,48.45
bayesian_optimization,2,12,26.01,48.55,48.45
bayesian_optimization,2,13,32.05,48.55,48.45
bayesian_optimization,2,14,54.01,54.01,42.99
bayesian_optimization,2,15,32.33,54.01,42.99
bayesian_optimization,2,16,54.79,54.79,42.21
bayesian_optimization,2,17,44.85,54.79,42.21
bayesian_optimization,2,18,60.4,60.4,36.6
bayesian_optimization,2,19,59.22,60.4,36.6
bayesian_optimization,2,20,43.91,60.4,36.6
bayesian_optimization,2,21,13.69,60.4,36.6
bayesian_optimization,2,22,41.85,60.4,36.6
bayesian_optimization,2,23,20.35,60.4,36.6
bayesian_optimization,2,24,6.95,60.4,36.6
bayesian_optimization,2,25,15.09,60.4,36.6
bayesian_optimization,2,26,95.5,95.5,1.5
bayesian_optimization,2,27,89.81,95.5,1.5
bayesian_optimization,2,28,72.76,95.5,1.5
bayesian_optimization,2,29,92.5,95.5,1.5
bayesian_optimization,2,30,90.73,95.5,1.5
bayesian_optimization,2,31,90.45,95.5,1.5
bayesian_optimization,2,32,84.02,95.5,1.5
bayesian_optimization,2,33,67.98,95.5,1.5
bayesian_optimization,2,34,79.49,95.5,1.5
bayesian_optimization,2,35,96.57,96.57,0.43
bayesian_optimization,2,36,97.42,97.42,-0.42
bayesian_optimization,2,37,90.48,97.42,-0.42
bayesian_optimization,2,38,91.95,97.42,-0.42
bayesian_optimization,2,39,89.68,97.42,-0.42
bayesian_optimization,2,40,93.07,97.42,-0.42
bayesian_optimization,2,41,91.49,97.42,-0.42
bayesian_optimization,2,42,8.04,97.42,-0.42
bayesian_optimization,2,43,90.45,97.42,-0.42
bayesian_optimization,2,44,89.86,97.42,-0.42
bayesian_optimization,2,45,96.01,97.42,-0.42
bayesian_optimization,2,46,96.93,97.42,-0.42
bayesian_optimization,2,47,93.23,97.42,-0.42
bayesian_optimization,2,48,92.15,97.42,-0.42
bayesian_optimization,2,49,91.49,97.42,-0.42
bayesian_optimization,2,50,90.74,97.42,-0.42
random_search,3,1,39.24,39.24,57.76
random_search,3,2,6.19,39.24,57.76
random_search,3,3,14.1,39.24,57.76
random_search,3,4,15.12,39.24,57.76
random_search,3,5,1.0,39.24,57.76
random_search,3,6,34.75,39.24,57.76
random_search,3,7,13.8,39.24,57.76
random_search,3,8,30.4,39.24,57.76
random_search,3,9,5.82,39.24,57.76
random_search,3,10,24.3,39.24,57.76
random_search,3,11,27.68,39.24,57.76
random_search,3,12,8.21,39.24,57.76
random_search,3,13,26.04,39.24,57.76
random_search,3,14,31.78,39.24,57.76
random_search,3,15,16.73,39.24,57.76
random_search,3,16,17.78,39.24,57.76
random_search,3,17,18.99,39.24,57.76
random_search,3,18,47.76,47.76,49.24
random_search,3,19,1.0,47.76,49.24
random_search,3,20,37.4,47.76,49.24
random_search,3,21,46.76,47.76,49.24
random_search,3,22,70.21,70.21,26.79
random_search,3,23,1.0,70.21,26.79
random_search,3,24,23.82,70.21,26.79
random_search,3,25,36.68,70.21,26.79
random_search,3,26,6.53,70.21,26.79
random_search,3,27,41.24,70.21,26.79
random_search,3,28,33.96,70.21,26.79
random_search,3,29,1.78,70.21,26.79
random_search,3,30,8.01,70.21,26.79
random_search,3,31,3.86,70.21,26.79
random_search,3,32,28.04,70.21,26.79
random_search,3,33,6.17,70.21,26.79
random_search,3,34,44.12,70.21,26.79
random_search,3,35,40.01,70.21,26.79
random_search,3,36,1.0,70.21,26.79
random_search,3,37,19.73,70.21,26.79
random_search,3,38,2.73,70.21,26.79
random_search,3,39,29.88,70.21,26.79
random_search,3,40,52.84,70.21,26.79
random_search,3,41,10.19,70.21,26.79
random_search,3,42,19.04,70.21,26.79
random_search,3,43,6.17,70.21,26.79
random_search,3,44,3.65,70.21,26.79
random_search,3,45,19.85,70.21,26.79
random_search,3,46,1.86,70.21,26.79
random_search,3,47,18.66,70.21,26.79
random_search,3,48,42.31,70.21,26.79
random_search,3,49,35.69,70.21,26.79
random_search,3,50,19.94,70.21,26.79
bayesian_optimization,3,1,9.86,9.86,87.14
bayesian_optimization,3,2,6.37,9.86,87.14
bayesian_optimization,3,3,2.15,9.86,87.14
bayesian_optimization,3,4,44.8,44.8,52.2
bayesian_optimization,3,5,24.17,44.8,52.2
bayesian_optimization,3,6,6.3,44.8,52.2
bayesian_optimization,3,7,26.22,44.8,52.2
bayesian_optimization,3,8,16.02,44.8,52.2
bayesian_optimization,3,9,45.34,45.34,51.66
bayesian_optimization,3,10,47.97,47.97,49.03
bayesian_optimization,3,11,23.51,47.97,49.03
bayesian_optimization,3,12,25.72,47.97,49.03
bayesian_optimization,3,13,42.77,47.97,49.03
bayesian_optimization,3,14,38.02,47.97,49.03
bayesian_optimization,3,15,68.63,68.63,28.37
bayesian_optimization,3,16,73.83,73.83,23.17
bayesian_optimization,3,17,68.26,73.83,23.17
bayesian_optimization,3,18,54.85,73.83,23.17
bayesian_optimization,3,19,69.86,73.83,23.17
